email,name,amount
gabor.kovacs@gmail.com,Kovács Gábor,15000
maria.szabo@gmail.com,Szabó Mária,18000
istvan.toth@yahoo.com,Tóth István,12000
erzsebet.nagy@gmail.com,Nagy Erzsébet,20000
laszlo.kis@yahoo.com,Kis László,17500
agnes.horvath@gmail.com,Horváth Ágnes,16000
tamás.varga@hotmail.com,Varga Tamás,0
péter.varga@freemail.hu,Varga Péter,0
jános.szabó@yahoo.com,Szabó János,0
zoltán.szabó@gmail.com,Szabó Zoltán,19750
gábor.oláh@freemail.hu,Oláh Gábor,0
katalin.kovács@citromail.hu,Kovács Katalin,0
péter.lakatos@freemail.hu,Lakatos Péter,0
katalin.varga@freemail.hu,Varga Katalin,6548
péter.oláh@t-online.hu,Oláh Péter,0
zoltán.simon@yahoo.com,Simon Zoltán,12642
anna.oláh@t-online.hu,Oláh Anna,1596
zoltán.balogh@hotmail.com,Balogh Zoltán,22440
ferenc.balogh@hotmail.com,Balogh Ferenc,21290
gábor.balogh@hotmail.com,Balogh Gábor,23253
gábor.németh@yahoo.com,Németh Gábor,0
judit.varga@yahoo.com,Varga Judit,0
ferenc.németh@gmail.com,Németh Ferenc,14232
judit.tóth@freemail.hu,Tóth Judit,1037
judit.simon@hotmail.com,Simon Judit,0
anna.kovács@freemail.hu,Kovács Anna,0
anna.varga@gmail.com,Varga Anna,9589
katalin.simon@t-online.hu,Simon Katalin,0
zoltán.kovács@t-online.hu,Kovács Zoltán,0
judit.varga@hotmail.com,Varga Judit,23834
